Code,Country,GDP,Region,Group Type,Income Level,Fatalities,Wounded,Latitude,Longitude,Casualties,Group Name
AFG,Afghanistan,507.103431871987,South Asia,government,Low Income,0.0,0.0,32.075753,66.143467,0.0,Anti-Government extremists
AFG,Afghanistan,509.218661332126,South Asia,religious,Low Income,0.0,0.0,34.41712,70.449594,0.0,Muslim extremists
AFG,Afghanistan,613.856689167623,South Asia,religious,Low Income,1.0,1.0,33.241542,69.82847,2.0,Muslim extremists
ALB,Albania,4124.05572595352,Eastern Europe,religious,Upper Middle,0.0,0.0,40.464987,19.484994,0.0,Muslim extremists
ARG,Argentina,14613.0418246696,South America,ethnic,Upper Middle,0.0,0.0,,,0.0,Mapuche extremists
AUS,Australia,55060.3261005013,Australasia & Oceania,Animal Rights,High Income,0.0,0.0,-34.545349,138.523659,0.0,Animal Rights extremists
AUS,Australia,57354.9640455891,Australasia & Oceania,religious,High Income,0.0,1.0,-37.673883,145.075344,1.0,Jihadi-inspired extremists
AUS,Australia,57354.9640455891,Australasia & Oceania,religious,High Income,2.0,2.0,-37.813628,144.963057,4.0,Jihadi-inspired extremists
AUS,Australia,54027.9668184568,Australasia & Oceania,religious,High Income,1.0,0.0,-35.349304,149.244385,1.0,Jihadi-inspired extremists
AUS,Australia,54027.9668184568,Australasia & Oceania,religious,High Income,2.0,3.0,-37.906633,145.007628,5.0,Jihadi-inspired extremists
AUS,Australia,54027.9668184568,Australasia & Oceania,religious,High Income,1.0,18.0,-37.8182,144.965,19.0,Muslim extremists
AUS,Australia,49971.131456129,Australasia & Oceania,religious,High Income,0.0,0.0,-32.053696,115.960731,0.0,Anti-Muslim extremists
AUS,Australia,49971.131456129,Australasia & Oceania,religious,High Income,0.0,1.0,-34.031804,150.850332,1.0,Jihadi-inspired extremists
AUS,Australia,49971.131456129,Australasia & Oceania,religious,High Income,0.0,0.0,-37.698036,144.965437,0.0,Jihadi-inspired extremists
AUS,Australia,49971.131456129,Australasia & Oceania,religious,High Income,0.0,0.0,-37.698082,144.964664,0.0,Jihadi-inspired extremists
AUS,Australia,56755.7217124249,Australasia & Oceania,religious,High Income,2.0,0.0,-33.815129,151.003278,2.0,Jihadi-inspired extremists
AUS,Australia,62510.7911705641,Australasia & Oceania,religious,High Income,1.0,2.0,-37.814107,144.96328,3.0,Jihadi-inspired extremists
AUS,Australia,62510.7911705641,Australasia & Oceania,religious,High Income,3.0,4.0,-33.867979,151.211038,7.0,Jihadi-inspired extremists
AUT,Austria,51478.2852619277,Western Europe,religious,High Income,1.0,1.0,48.21141,16.380038,2.0,Muslim extremists
AUT,Austria,47426.5119597773,Western Europe,religious,High Income,2.0,0.0,48.30694,14.28583,2.0,Jihadi-inspired extremists
AZE,Azerbaijan,4739.84171028393,Central Asia,religious,Upper Middle,0.0,1.0,40.684677,46.353877,1.0,Jihadi-inspired extremists
BEL,Belgium,47583.0749405066,Western Europe,religious,High Income,4.0,4.0,50.63579,5.567579,8.0,Jihadi-inspired extremists
BEL,Belgium,47583.0749405066,Western Europe,religious,High Income,0.0,1.0,50.405377,4.279858,1.0,Anti-Muslim extremists
BEL,Belgium,47583.0749405066,Western Europe,religious,High Income,0.0,2.0,50.836426,4.367415,2.0,Jihadi-inspired extremists
BEL,Belgium,44192.6230270333,Western Europe,religious,High Income,1.0,0.0,50.836426,4.367415,1.0,Jihadi-inspired extremists
BEL,Belgium,44192.6230270333,Western Europe,religious,High Income,1.0,1.0,50.836426,4.367415,2.0,Muslim extremists
BEL,Belgium,41984.1030335609,Western Europe,religious,High Income,0.0,4.0,50.836426,4.367415,4.0,Muslim extremists
BEL,Belgium,44673.1158755901,Western Europe,religious,High Income,1.0,1.0,50.836426,4.367415,2.0,Sunni Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,12.0,2.0,14.229134,-0.861553,14.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,3.0,,14.229134,-0.861553,,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,10.0,2.0,14.305274,-0.755657,12.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,0.0,0.0,13.163163,0.639239,0.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,0.0,0.0,13.163163,0.639239,0.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,0.0,0.0,13.162806,0.637775,0.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,2.0,0.0,11.523836,0.753281,2.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,3.0,0.0,11.523836,0.753281,3.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,5.0,0.0,10.20627,-4.9787,5.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,4.0,0.0,14.144722,-0.7625,4.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,5.0,0.0,11.707168,0.140242,5.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,1.0,0.0,11.524767,0.149499,1.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,5.0,0.0,13.808564,-1.328445,5.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,5.0,0.0,13.373506,-3.197164,5.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,6.0,0.0,13.714684,-1.176111,6.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,0.0,0.0,13.714684,-1.176111,0.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,0.0,0.0,13.714684,-1.176111,0.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,4.0,0.0,12.104853,-1.545572,4.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,4.0,,13.880557,-1.951466,,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,17.0,0.0,14.085034,-1.290166,17.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,13.0,0.0,13.413899,-1.055852,13.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,2.0,0.0,13.415054,-1.056384,2.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,1.0,0.0,13.326845,-1.049821,1.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,4.0,0.0,13.721389,-0.172222,4.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,15.0,0.0,13.338651,-0.944329,15.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,4.0,0.0,13.802216,-1.568822,4.0,Muslim extremists
BFA,Burkina Faso,786.895631290168,Sub-Saharan Africa,religious,Low Income,1.0,0.0,13.548569,-1.380921,1.0,Muslim extremists
